Bus No.,SOC charged,SOC used,Actual Distance,SOC/Miles,Miles/SOC,Energy Charge,Energy Used,kWh/Miles,Miles/kWh,Start Odometer,End Odometer
"IG_1899",25.9,63.2,157.7,0.4,2.5,162.3,397.2,2.5,0.4,44651.8,44809.5
"IG_1999",67.7,94.8,222.8,0.4,2.4,577.5,750.9,3.4,0.3,42958.8,43181.6
"IG_1995",0,0,0,0,0,0,0,0,0,42152,42152
"IG_1994",20.1,47.1,120.2,0.4,2.6,134.9,316,2.6,0.4,47102.8,47223
"IG_1992",78.2,66.1,131.9,0.5,2,501.9,424.2,3.2,0.3,43628.3,43760.2
"IG_1991",200.1,179.9,227,0.8,1.3,1283.9,1154.3,5.1,0.2,50433.2,50660.2
"IG_1990",98.5,50.4,113.6,0.4,2.3,631.7,323.1,2.8,0.4,47646.5,47760.1
"IG_1989",65.7,108.1,222,0.5,2.1,577,849,3.8,0.3,50698.8,50920.8
"IG_1993",98.7,0.7,0,0,0,2,0,0,0,42813.1,42813.1
"IG_1996",36.5,79.2,205.6,0.4,2.6,226.7,491.3,2.4,0.4,48193.1,48398.7
"IG_1997",95.4,94.8,128.2,0.7,1.4,599.2,595.4,4.6,0.2,39550.6,39678.8
"IG_1998",61.9,58.8,168.6,0.3,2.9,394.5,374.6,2.2,0.5,32739.7,32908.3
"IG_1979",44.9,80.1,190.2,0.4,2.4,288.9,514.7,2.7,0.4,39209.4,39399.6
"IG_1981",101.2,145.8,223.6,0.7,1.5,648.8,934.9,4.2,0.2,40472.2,40695.8
"IG_1982",88.5,53.1,121.2,0.4,2.3,566.8,339.7,2.8,0.4,45703.4,45824.6
"IG_1984",75.1,82.2,212.8,0.4,2.6,479.1,524.1,2.5,0.4,45667.1,45879.9
"IG_1971",551.8,98.2,231.3,0.4,2.4,818.8,630.3,2.7,0.4,43093,43324.3
"IG_1974",32.6,83.1,212,0.4,2.6,209.5,533.5,2.5,0.4,44687.3,44899.3
"IG_1975",0.5,33.9,77.2,0.4,2.3,4,218.2,2.8,0.4,31423.6,31500.8
"IG_1976",75.5,11.2,16.5,0.7,1.5,484.5,72,4.4,0.2,46155.5,46172
"IG_1978",36.7,0.1,166.2,0,1662,235.4,0.7,0,237.4,4411.4,4577.6
"IG_1980",0,24,0,0,0,0,154,0,0,42329.9,42330
"IG_1983",30.1,77.6,223,0.3,2.9,192.2,496.9,2.2,0.4,29696.2,29919.2
"IG_1985",90.5,64.2,156.7,0.4,2.4,580.5,411.7,2.6,0.4,44005.6,44162.3
"IG_1970",81.2,63.7,129.1,0.5,2,521.5,409.2,3.2,0.3,31665.3,31794.4
"IG_1972",42.1,58.2,135.5,0.4,2.3,268.9,371.7,2.7,0.4,31085.4,31220.9
"IG_1977",45.3,86.2,207.7,0.4,2.4,290.7,553.1,2.7,0.4,20475.2,20682.9
"Total (IndyGo)",2144.7,1804.7,4000.7,0.5,2.2,10681.2,11840.7,3,0.3,"",""
