Bus No.,SOC charged,SOC used,Actual Distance,SOC/Miles,Miles/SOC,Energy Charge,Energy Used,kWh/Miles,Miles/kWh,Start Odometer,End Odometer
"IG_1899",79,90.5,256.6,0.4,2.8,497,569.4,2.2,0.5,43326.4,43583
"IG_1999",116.8,62.3,169,0.4,2.7,735.2,399.2,2.4,0.4,41017.9,41186.9
"IG_1995",138.7,85.7,147.6,0.6,1.7,876.9,536.9,3.6,0.3,40802.8,40950.4
"IG_1994",25,55.6,132.5,0.4,2.4,168.5,373.7,2.8,0.4,45798.5,45931
"IG_1992",66.9,76.2,153.5,0.5,2,430.7,490.4,3.2,0.3,42454.4,42607.9
"IG_1991",63.8,88.2,208,0.4,2.4,390.1,546.6,2.6,0.4,48893.1,49101.1
"IG_1990",0,1,0,0,0,0,6.4,0,0,46163.6,46163.6
"IG_1989",329.6,88.1,254.1,0.3,2.9,2113.5,564.4,2.2,0.5,49431.5,49685.6
"IG_1993",418.8,108.7,213.1,0.5,2,692,699,3.3,0.3,41328.8,41541.9
"IG_1996",59.9,97.3,228.5,0.4,2.3,371.2,602.9,2.6,0.4,46587.7,46816.2
"IG_1997",44.4,76.9,166.9,0.5,2.2,286.5,495,3,0.3,38364.8,38531.7
"IG_1998",0.1,0.4,0,0,0,0.7,2.7,0,0,31755.3,31755.3
"IG_1979",76.5,72.9,114.7,0.6,1.6,490.6,467.6,4.1,0.2,37963.9,38078.6
"IG_1981",84.4,99.5,175.2,0.6,1.8,539.1,635.9,3.6,0.3,38983.5,39158.7
"IG_1982",42.9,59.2,118.6,0.5,2,358.7,370.5,3.1,0.3,44723.2,44841.8
"IG_1984",98.3,83,220.3,0.4,2.7,623.5,526.4,2.4,0.4,44294.7,44515
"IG_1988",0.1,2.2,0,0,0,0.3,7,0,0,45876.2,45876.4
"IG_1971",114.5,80.4,195.3,0.4,2.4,735,516.3,2.6,0.4,41156.7,41352
"IG_1974",106.2,90.3,150.3,0.6,1.7,681.5,579.5,3.9,0.3,43369.8,43520.1
"IG_1976",117.4,94.7,215.3,0.4,2.3,710.9,533.5,2.5,0.4,44606.3,44821.6
"IG_1980",38.6,39.2,0,0,0,6.6,10.4,0,0,42321.5,42322
"IG_1983",103.2,106.3,190.9,0.6,1.8,637.9,657.8,3.4,0.3,28488.7,28679.6
"IG_1985",22.3,70.4,168,0.4,2.4,143.9,452.4,2.7,0.4,42251.4,42419.4
"IG_1970",95.9,90.2,207.9,0.4,2.3,615.8,579.2,2.8,0.4,30329.6,30537.5
"IG_1972",46.3,72.2,213.5,0.3,3,295.7,461.1,2.2,0.5,29565.1,29778.6
"IG_1977",65.5,95.4,217.8,0.4,2.3,421.6,613.4,2.8,0.4,18846.2,19064
"Total (IndyGo)",2355.1,1886.8,4118.3,0.5,2.2,12823.4,11697.6,2.8,0.4,"",""
