Bus No.,SOC charged,SOC used,Actual Distance,SOC/Miles,Miles/SOC,Energy Charge,Energy Used,kWh/Miles,Miles/kWh,Start Odometer,End Odometer
"IG_1899",76.3,88.9,227.4,0.4,2.6,481.5,560.9,2.5,0.4,42733.9,42961.3
"IG_1999",29.6,88.8,216,0.4,2.4,189.7,568.6,2.6,0.4,40159.6,40375.6
"IG_1995",80.6,79.2,160.5,0.5,2,517,508,3.2,0.3,40049.2,40209.7
"IG_1994",51.3,87.3,208.7,0.4,2.4,343.9,585.3,2.8,0.4,45048.4,45257.1
"IG_1992",61.6,79.3,171.3,0.5,2.2,395.3,508.9,3,0.3,41756.8,41928.1
"IG_1991",39.5,105.8,231.9,0.5,2.2,254.8,680.1,2.9,0.3,48096.4,48328.3
"IG_1990",43.5,52.1,93.5,0.6,1.8,279.2,334.4,3.6,0.3,45867.5,45961
"IG_1989",58.6,86.5,210.4,0.4,2.4,378,557,2.6,0.4,48546.8,48757.2
"IG_1993",224.5,58.7,71.2,0.8,1.2,472.9,376.7,5.3,0.2,40789,40860.2
"IG_1996",60.2,72,149.9,0.5,2.1,372.3,445.4,3,0.3,45865.2,46015.1
"IG_1997",16.9,10.4,13.7,0.8,1.3,108.5,66.8,4.9,0.2,37921,37934.7
"IG_1979",56.6,75.1,161.4,0.5,2.1,362.4,481.1,3,0.3,37258.2,37419.6
"IG_1981",91.6,149.8,232.2,0.6,1.6,585.3,961.9,4.1,0.2,38266.7,38498.9
"IG_1982",96.4,96.9,178.9,0.5,1.8,463.8,466.2,2.6,0.4,43976.6,44155.5
"IG_1984",81,100.2,226.4,0.4,2.3,513.4,635.1,2.8,0.4,43680.4,43906.8
"IG_1986",66.9,41.7,111.1,0.4,2.7,429.1,267.4,2.4,0.4,42914.4,43025.5
"IG_1988",0,1.6,0,0,0,0,10.3,0,0,45728.6,45728.7
"IG_1971",188.4,121.9,198.8,0.6,1.6,704.9,762.7,3.8,0.3,40498.9,40697.7
"IG_1974",31.4,81.1,217,0.4,2.7,195.6,514.5,2.4,0.4,42635.5,42852.5
"IG_1975",46,0,0,0,0,147.5,0,0,0,31331.7,31331.8
"IG_1976",111.7,107.3,212.6,0.5,2,690.4,687.9,3.2,0.3,43872,44084.6
"IG_1978",91.3,0.7,0,0,0,585.7,4.5,0,0,3160.8,3160.8
"IG_1980",63.7,94.9,207.3,0.5,2.2,408,608.2,2.9,0.3,41963,42170.3
"IG_1983",79.2,83.5,194.6,0.4,2.3,508,535.6,2.8,0.4,27674.4,27869
"IG_1985",73.1,75.8,176.4,0.4,2.3,468.9,486.2,2.8,0.4,41475.7,41652.1
"IG_1972",0.1,37.5,98.4,0.4,2.6,0.6,239.5,2.4,0.4,29025.8,29124.2
"IG_1977",0.1,0.5,0,0,0,0,2.5,0,0,18509.4,18509.4
"Total (IndyGo)",1820.1,1877.5,3969.8,0.5,2.1,9856.7,11855.7,3,0.3,"",""
