Bus No.,SOC charged,SOC used,Actual Distance,SOC/Miles,Miles/SOC,Energy Charge,Energy Used,kWh/Miles,Miles/kWh,Start Odometer,End Odometer
"IG_1899",77.5,114.9,211.3,0.5,1.8,489.6,725.1,3.4,0.3,45425.9,45637.2
"IG_1999",89.8,47.7,131.3,0.4,2.8,573.9,304.4,2.3,0.4,43921,44052.3
"IG_1995",0.2,1.5,2.6,0.6,1.7,1.2,9.5,3.7,0.3,42158.4,42161
"IG_1994",61.2,96,185.4,0.5,1.9,410.2,644.2,3.5,0.3,47898.2,48083.6
"IG_1992",107.8,109.3,242.6,0.5,2.2,666,675.7,2.8,0.4,44371,44613.6
"IG_1991",276.6,94.3,93.8,1,1,2127.5,605.4,6.5,0.2,50682.7,50776.5
"IG_1990",93.5,75,193.5,0.4,2.6,599.8,481.2,2.5,0.4,48400.3,48593.8
"IG_1989",117.1,94.8,212,0.4,2.2,751.2,608.1,2.9,0.3,51523.1,51735.1
"IG_1993",107.6,7.4,9.5,0.8,1.3,844.7,203.2,21.4,0,43034.6,43044.1
"IG_1996",47.8,17.4,47,0.4,2.7,296.3,107.9,2.3,0.4,48962.7,49009.7
"IG_1997",53.4,68.8,95.9,0.7,1.4,342.6,441.4,4.6,0.2,40130.6,40226.5
"IG_1998",88.1,75.6,219.8,0.3,2.9,564.1,483.9,2.2,0.5,33557.9,33777.7
"IG_1979",62.4,92.9,206.1,0.5,2.2,481.9,677.5,3.3,0.3,39861.9,40068
"IG_1981",113.5,100.8,219,0.5,2.2,730.8,649.4,3,0.3,41230.4,41449.4
"IG_1984",20.1,83.9,202.4,0.4,2.4,126.2,530.8,2.6,0.4,46348.3,46550.7
"IG_1988",98.4,8.6,0,0,0,994.2,0,0,0,45882.7,45882.7
"IG_1971",153,94.9,217.3,0.4,2.3,328.3,597.1,2.7,0.4,43928,44145.3
"IG_1974",2.1,1.6,0,0,0,160.7,9.1,0,0,44935.6,44935.6
"IG_1975",129.1,102.6,207.3,0.5,2,828.2,658.2,3.2,0.3,32031.3,32238.6
"IG_1976",107.8,100.7,236.2,0.4,2.3,690.6,645.1,2.7,0.4,46844.6,47080.8
"IG_1978",64.2,73.8,204.1,0.4,2.8,411.8,473.4,2.3,0.4,5177,5381.1
"IG_1983",59.6,80,188.5,0.4,2.4,380.5,511.4,2.7,0.4,30400,30588.5
"IG_1985",96.7,89.9,89.1,1,1,620.7,577,6.5,0.2,44763.7,44852.8
"IG_1970",73.1,25.3,57.5,0.4,2.3,469,162.4,2.8,0.4,32302.4,32359.9
"IG_1972",72.6,89.1,207.5,0.4,2.3,464.8,570.2,2.7,0.4,31793.7,32001.2
"IG_1977",89.1,84.8,190.5,0.4,2.2,571.6,544,2.9,0.4,21249.9,21440.4
"Total (IndyGo)",2262.3,1831.6,3870.2,0.5,2.1,14926.4,11895.6,3.1,0.3,"",""
