Bus No.,SOC charged,SOC used,Actual Distance,SOC/Miles,Miles/SOC,Energy Charge,Energy Used,kWh/Miles,Miles/kWh,Start Odometer,End Odometer
"IG_1899",84.5,30.6,62.2,0.5,2,531.7,192.2,3.1,0.3,45637.2,45699.4
"IG_1999",40.3,59.9,114.3,0.5,1.9,471.3,596.8,5.2,0.2,44052.3,44166.6
"IG_1995",0,0.1,0,0,0,0,0.7,0,0,42161,42161
"IG_1994",90.3,36.5,107.8,0.3,3,599.7,242.7,2.3,0.4,48083.6,48191.4
"IG_1992",70.6,77.8,204.9,0.4,2.6,453.4,499.6,2.4,0.4,44613.6,44818.5
"IG_1991",70.6,77.4,118.6,0.7,1.5,542,682.7,5.8,0.2,50776.5,50895.1
"IG_1990",73.2,116.8,98.5,1.2,0.8,465.1,744.8,7.6,0.1,48593.8,48692.3
"IG_1989",38.1,61,146.3,0.4,2.4,244.1,391,2.7,0.4,51735.1,51881.4
"IG_1993",103.1,4.1,0,0,0,642.1,7,0,0,43044.1,43044.2
"IG_1997",55.3,54,155.8,0.3,2.9,355.4,347.1,2.2,0.4,40226.5,40382.3
"IG_1998",74.6,43.2,126.1,0.3,2.9,479.1,274.4,2.2,0.5,33777.7,33903.8
"IG_1979",471,20.2,42,0.5,2.1,2631.9,125.8,3,0.3,40068,40110
"IG_1981",102.7,40.4,99,0.4,2.5,658.8,259.1,2.6,0.4,41449.4,41548.4
"IG_1984",126.4,83.3,212.2,0.4,2.5,801.5,528.2,2.5,0.4,46550.7,46762.9
"IG_1988",0,0,0,0,0,0,0,0,0,45882.7,45882.7
"IG_1971",190.2,31.9,80,0.4,2.5,489.1,431.7,5.4,0.2,44145.3,44225.3
"IG_1974",0,0.8,0,0,0,0,5.2,0,0,44935.6,44935.6
"IG_1975",23.6,60.1,144.7,0.4,2.4,150.7,384.8,2.7,0.4,32238.6,32383.3
"IG_1976",118,65.5,94,0.7,1.4,906,831.6,8.8,0.1,47080.8,47174.8
"IG_1978",11.2,2.9,199.3,0,68.7,72.7,19.5,0.1,10.2,5381.1,5580.4
"IG_1983",60.6,40.5,114.7,0.4,2.8,390.4,261.5,2.3,0.4,30588.5,30703.2
"IG_1985",32.7,9.9,15.1,0.7,1.5,209.7,63.5,4.2,0.2,44852.8,44867.9
"IG_1970",20.6,26.9,74.6,0.4,2.8,132.3,172.7,2.3,0.4,32359.9,32434.5
"IG_1972",67.6,20.2,62.6,0.3,3.1,431.7,129,2.1,0.5,32001.2,32063.8
"IG_1977",66.7,83.3,205,0.4,2.5,403.1,509.6,2.5,0.4,21440.4,21645.4
"Total (IndyGo)",1991.9,1047.3,2477.8,0.4,2.4,12061.8,7701.2,3.1,0.3,"",""
