Bus No.,SOC charged,SOC used,Actual Distance,SOC/Miles,Miles/SOC,Energy Charge,Energy Used,kWh/Miles,Miles/kWh,Start Odometer,End Odometer
"IG_1899",141.3,119,227.5,0.5,1.9,890.2,749.7,3.3,0.3,42224.5,42452
"IG_1999",110.3,95.3,232.5,0.4,2.4,705.7,609.7,2.6,0.4,39573.6,39806.1
"IG_1995",118.4,122.2,244.3,0.5,2,746.7,771,3.2,0.3,39495,39739.3
"IG_1994",61.9,104.4,185.5,0.6,1.8,414.5,699.6,3.8,0.3,44656.9,44842.4
"IG_1992",120.6,98,193.8,0.5,2,774.2,629.2,3.2,0.3,41280,41473.8
"IG_1991",59.4,99.6,227.2,0.4,2.3,381.3,639.2,2.8,0.4,47555.3,47782.5
"IG_1990",65.6,24.4,66.9,0.4,2.7,420.7,156.4,2.3,0.4,45446.5,45513.4
"IG_1989",130,111.6,245.3,0.5,2.2,833.8,715.7,2.9,0.3,48024.7,48270
"IG_1993",94.9,37.2,80.6,0.5,2.2,1.4,238.2,3,0.3,40503.1,40583.7
"IG_1996",79.3,14.9,21.3,0.7,1.4,491.4,92.3,4.3,0.2,45558,45579.3
"IG_1997",83.2,97.8,179.7,0.5,1.8,530.3,624,3.5,0.3,37582.3,37762
"IG_1979",105.1,84.7,210.9,0.4,2.5,673.6,542.7,2.6,0.4,36758.9,36969.8
"IG_1981",74.9,129.1,216.2,0.6,1.7,479.5,827.2,3.8,0.3,37678.3,37894.5
"IG_1982",86.3,136,189.2,0.7,1.4,415.2,654.3,3.5,0.3,43490.6,43679.8
"IG_1984",80.7,91.1,212.4,0.4,2.3,511.4,577.3,2.7,0.4,43165.5,43377.9
"IG_1986",137.9,112.1,64.4,1.7,0.6,884.8,693.7,10.8,0.1,42849.9,42914.3
"IG_1988",482.4,82.4,20.3,4.1,0.2,2455.6,1326.3,65.3,0,45708.4,45728.7
"IG_1971",0.1,7.8,5.9,1.3,0.8,232.2,25,4.2,0.2,40467.2,40473.1
"IG_1974",85.1,80.3,193.6,0.4,2.4,545.5,514.7,2.7,0.4,42387,42580.6
"IG_1976",16.5,1.1,0,0,0,616.9,407.5,0,0,43576.8,43576.8
"IG_1980",64,97.6,206.6,0.5,2.1,409.1,624.6,3,0.3,41442.5,41649.1
"IG_1983",62.4,86.6,203.4,0.4,2.3,400.6,555.9,2.7,0.4,27196.8,27400.2
"IG_1985",64.8,95.7,234.9,0.4,2.5,414.7,612.9,2.6,0.4,40918.8,41153.7
"IG_1972",89.6,87.3,196.9,0.4,2.3,572.8,558.1,2.8,0.4,28725.7,28922.6
"IG_1977",0.1,0.6,0,0,0,0.7,4,0,0,18509.4,18509.4
"Total (IndyGo)",2414.8,2016.8,3859.3,0.5,1.9,14802.8,13849.2,3.6,0.3,"",""
