Bus No.,SOC charged,SOC used,Actual Distance,SOC/Miles,Miles/SOC,Energy Charge,Energy Used,kWh/Miles,Miles/kWh,Start Odometer,End Odometer
"IG_1899",31.6,62.6,165.1,0.4,2.6,199.2,394.5,2.4,0.4,43812.1,43977.2
"IG_1999",94.2,81.4,215.7,0.4,2.6,601.8,519.9,2.4,0.4,41577.5,41793.2
"IG_1995",75.5,83.8,227.1,0.4,2.7,486.1,539.3,2.4,0.4,41210.9,41438
"IG_1994",65.1,71.4,205.6,0.3,2.9,582.9,625.2,3,0.3,46084.1,46289.7
"IG_1992",51.1,53.2,133.5,0.4,2.5,327.8,341.3,2.6,0.4,42834.3,42967.8
"IG_1991",43,43.2,115.8,0.4,2.7,275.9,277.2,2.4,0.4,49337.5,49453.3
"IG_1990",134.2,83.3,206.3,0.4,2.5,860.8,534.2,2.6,0.4,46390.3,46596.6
"IG_1989",49,80.5,212.4,0.4,2.6,314.9,517,2.4,0.4,49930.4,50142.8
"IG_1993",165.8,80.4,184.1,0.4,2.3,522.6,516.8,2.8,0.4,41733.2,41917.3
"IG_1996",38.7,79,211.5,0.4,2.7,240.5,490.2,2.3,0.4,47143.7,47355.2
"IG_1997",116.6,58.9,142.3,0.4,2.4,747.5,377.3,2.7,0.4,38689.6,38831.9
"IG_1998",21.1,24.3,78.3,0.3,3.2,135.5,156,2,0.5,31755.4,31833.7
"IG_1979",66.4,69.3,200.9,0.3,2.9,426.2,444.8,2.2,0.5,38345.3,38546.2
"IG_1981",48.4,74.2,116.5,0.6,1.6,307.7,473.2,4.1,0.2,39382.2,39498.7
"IG_1982",0,0.3,0,0,0,0,1.9,0,0,45149.2,45149.2
"IG_1984",30.9,48.9,124.5,0.4,2.5,194.9,309.1,2.5,0.4,44735.9,44860.4
"IG_1988",82.8,0.5,0,0,0,0,1.6,0,0,45882.7,45882.8
"IG_1971",203.5,128.2,232.4,0.6,1.8,863.7,823.9,3.5,0.3,41721.5,41953.9
"IG_1974",52.2,60.3,151,0.4,2.5,335.5,387.4,2.6,0.4,43876.1,44027.1
"IG_1976",26.3,78.8,224.5,0.4,2.8,167.9,504.7,2.2,0.4,44944.2,45168.7
"IG_1980",44.4,45.8,0,0,0,0,9,0,0,42322.9,42322.9
"IG_1983",120.6,74.9,119.7,0.6,1.6,773.2,480,4,0.2,28900.7,29020.4
"IG_1985",48.6,102.8,233.7,0.4,2.3,299.9,660.4,2.8,0.4,42640.2,42873.9
"IG_1970",39.6,45.2,117.9,0.4,2.6,254,289.9,2.5,0.4,30678.5,30796.4
"IG_1972",68,57.6,177.1,0.3,3.1,434.3,367.9,2.1,0.5,30098.2,30275.3
"IG_1977",96.9,90.4,199.8,0.5,2.2,620.4,578.7,2.9,0.3,19283.3,19483.1
"Total (IndyGo)",1814.5,1679.2,3995.8,0.4,2.4,9973.2,10621.4,2.7,0.4,"",""
