Bus No.,SOC charged,SOC used,Actual Distance,SOC/Miles,Miles/SOC,Energy Charge,Energy Used,kWh/Miles,Miles/kWh,Start Odometer,End Odometer
"IG_1899",106,91.4,266.2,0.3,2.9,667.3,575.4,2.2,0.5,44139.1,44405.3
"IG_1999",127.3,81.9,226.6,0.4,2.8,1131.7,841.1,3.7,0.3,42135,42361.6
"IG_1995",16.9,21.6,36.9,0.6,1.7,108.5,138.6,3.8,0.3,41853.2,41890.1
"IG_1994",42.2,61.5,150.7,0.4,2.5,282.4,411.9,2.7,0.4,46549.6,46700.3
"IG_1992",63.5,76.7,129.3,0.6,1.7,407.5,492.2,3.8,0.3,43292.9,43422.2
"IG_1991",141.3,145.1,218.1,0.7,1.5,906.3,930.7,4.3,0.2,49789.6,50007.7
"IG_1990",81.8,57.6,147.2,0.4,2.6,524.5,368.7,2.5,0.4,46941.8,47089
"IG_1989",83.3,119.9,220,0.5,1.8,514.9,749.7,3.4,0.3,50464.5,50684.5
"IG_1993",493.3,72.1,194.2,0.4,2.7,265.5,463.1,2.4,0.4,42275.2,42469.4
"IG_1996",112.1,73.5,165.3,0.4,2.2,695.4,456.2,2.8,0.4,47765.6,47930.9
"IG_1997",1.5,39.9,102.2,0.4,2.6,7.8,256.1,2.5,0.4,39027.3,39129.5
"IG_1998",1.1,57.6,154.8,0.4,2.7,7.7,370.2,2.4,0.4,32201.5,32356.3
"IG_1979",94.2,58.1,118.6,0.5,2,605,373.4,3.1,0.3,38848.3,38966.9
"IG_1981",44.4,54.1,130.3,0.4,2.4,284.7,346.9,2.7,0.4,39874,40004.3
"IG_1982",97.3,62.2,107.6,0.6,1.7,624.2,399,3.7,0.3,45171.6,45279.2
"IG_1984",34.9,82.7,210.1,0.4,2.5,221.2,524.3,2.5,0.4,45072.5,45282.6
"IG_1971",193.6,125.7,231.1,0.5,1.8,760.2,805.8,3.5,0.3,42454.1,42685.2
"IG_1974",124,71.7,179.1,0.4,2.5,787.7,452.2,2.5,0.4,44364.7,44543.8
"IG_1975",77.7,49,8.3,5.9,0.2,498.7,314.6,37.9,0,31331.8,31340.1
"IG_1976",90.2,48.7,118.4,0.4,2.4,579,312.7,2.6,0.4,45596,45714.4
"IG_1978",23.2,0,72.1,0,null,148.8,0,0,null,3723.7,3795.8
"IG_1980",0,1.6,0,0,0,470.3,480.6,0,0,42329.8,42329.8
"IG_1983",35.5,78.1,200.2,0.4,2.6,227.1,500.3,2.5,0.4,29284.1,29484.3
"IG_1985",111.3,64,171.6,0.4,2.7,713.8,410.3,2.4,0.4,43272.8,43444.4
"IG_1970",144.4,150.6,141,1.1,0.9,927.1,966.9,6.9,0.1,31027.6,31168.6
"IG_1972",48.9,51.5,152.7,0.3,3,312.4,329,2.2,0.5,30618.5,30771.2
"IG_1977",94.9,53.6,130,0.4,2.4,609,344,2.6,0.4,19913.6,20043.6
"Total (IndyGo)",2484.8,1850.4,3982.6,0.5,2.2,13288.7,12613.9,3.2,0.3,"",""
