Bus No.,SOC charged,SOC used,Actual Distance,SOC/Miles,Miles/SOC,Energy Charge,Energy Used,kWh/Miles,Miles/kWh,Start Odometer,End Odometer
"IG_1899",175,117.8,248.2,0.5,2.1,1102.1,741.8,3,0.3,41547,41795.2
"IG_1999",76.7,107.4,182.1,0.6,1.7,490.3,686.8,3.8,0.3,38912.8,39094.9
"IG_1995",0.1,0.2,0,0,0,0.6,1.3,0,0,39350.9,39350.9
"IG_1994",63.9,109.4,157.2,0.7,1.4,271.6,576.8,3.7,0.3,44084.3,44241.5
"IG_1992",82.1,83,200.2,0.4,2.4,526.6,532.4,2.7,0.4,40607.8,40808
"IG_1991",97.7,102.8,211.6,0.5,2.1,625.1,657.9,3.1,0.3,46940.8,47152.4
"IG_1990",128.2,106.6,206.5,0.5,1.9,803.3,664.7,3.2,0.3,44926.5,45133
"IG_1989",35.9,70.4,193.5,0.4,2.7,230.2,451.6,2.3,0.4,47383.6,47577.1
"IG_1996",84.2,68.6,176.5,0.4,2.6,521.3,424.6,2.4,0.4,44914.5,45091
"IG_1997",19.5,41.4,98.1,0.4,2.4,124.5,265,2.7,0.4,37201.1,37299.2
"IG_1979",64.5,103,177,0.6,1.7,414.1,661.1,3.7,0.3,36192.7,36369.7
"IG_1981",105.7,99.9,188.7,0.5,1.9,652.3,615,3.3,0.3,37140.2,37328.9
"IG_1982",49.6,102.3,188.3,0.5,1.8,235.5,491.5,2.6,0.4,43076.7,43265
"IG_1984",8.6,89.7,226.4,0.4,2.5,54,568.4,2.5,0.4,42504.5,42730.9
"IG_1986",75,28.1,79.2,0.4,2.8,481.4,180.6,2.3,0.4,42326.7,42405.9
"IG_1988",318.2,124.5,197.1,0.6,1.6,1234.6,806.1,4.1,0.2,45218.1,45415.2
"IG_1971",356.1,93.1,231.3,0.4,2.5,552.4,597.4,2.6,0.4,40023.1,40254.4
"IG_1974",108.4,81.3,164.4,0.5,2,695.7,521.9,3.2,0.3,41946.1,42110.5
"IG_1975",113.8,107.2,243.1,0.4,2.3,732.1,689.7,2.8,0.4,30847.3,31090.4
"IG_1976",171.3,102.2,189.7,0.5,1.9,1099.6,656.3,3.5,0.3,43124.4,43314.1
"IG_1980",85.1,67.8,130.8,0.5,1.9,545.6,434.6,3.3,0.3,40922,41052.8
"IG_1983",72.3,73.2,171.4,0.4,2.3,463.3,469.7,2.7,0.4,26692.3,26863.7
"IG_1985",62.3,103.2,251.6,0.4,2.4,398.2,660.6,2.6,0.4,40377.3,40628.9
"IG_1972",51.7,79.5,186.5,0.4,2.3,330.9,508.4,2.7,0.4,28141.4,28327.9
"IG_1977",0,0.4,0,0,0,0,2.5,0,0,18509,18509
"Total (IndyGo)",2405.9,2063,4299.4,0.5,2.1,12585.3,12866.7,3,0.3,"",""
