Bus No.,SOC charged,SOC used,Actual Distance,SOC/Miles,Miles/SOC,Energy Charge,Energy Used,kWh/Miles,Miles/kWh,Start Odometer,End Odometer
"IG_1899",74.6,30.1,77.6,0.4,2.6,470,189.7,2.4,0.4,43583,43660.6
"IG_1999",66.8,78.3,221.9,0.4,2.8,425.5,499.1,2.2,0.4,41186.9,41408.8
"IG_1995",40.1,40.1,113.5,0.4,2.8,256.3,256.3,2.3,0.4,40950.4,41063.9
"IG_1994",54.6,10.4,20.3,0.5,2,366.2,69.8,3.4,0.3,45931,45951.3
"IG_1992",73.7,28.5,71.2,0.4,2.5,474.2,184.2,2.6,0.4,42607.9,42679.1
"IG_1991",44.6,41.7,100.1,0.4,2.4,286.8,268.2,2.7,0.4,49101.1,49201.2
"IG_1990",9.9,28.1,78,0.4,2.8,64,180.8,2.3,0.4,46163.6,46241.6
"IG_1989",105.6,50.1,126.7,0.4,2.5,677.8,321.7,2.5,0.4,49685.6,49812.3
"IG_1993",162.4,27.2,61.5,0.4,2.3,429.7,175.6,2.9,0.4,41541.9,41603.4
"IG_1996",100.3,75,211.2,0.4,2.8,622,465.2,2.2,0.5,46816.2,47027.4
"IG_1997",43.9,53.1,130.7,0.4,2.5,280.8,339.8,2.6,0.4,38531.7,38662.4
"IG_1998",0.1,1.2,0,0,0,0.7,7.7,0,0,31755.3,31755.3
"IG_1979",11.6,49.1,114.1,0.4,2.3,74.3,314.8,2.8,0.4,38078.6,38192.7
"IG_1981",200.3,150.3,178.6,0.8,1.2,1286,965.3,5.4,0.2,39158.7,39337.3
"IG_1982",112.6,84.8,212.8,0.4,2.5,722.5,544.2,2.6,0.4,44841.8,45054.6
"IG_1984",57.3,71.4,175.8,0.4,2.5,363.1,452.6,2.6,0.4,44515,44690.8
"IG_1988",0,6.5,6.3,1,1,0,20.9,3.3,0.3,45876.4,45882.7
"IG_1971",46.9,92.7,209.9,0.4,2.3,300.2,594,2.8,0.4,41352,41561.9
"IG_1974",122.2,148.3,223.3,0.7,1.5,1021.8,1189.2,5.3,0.2,43520.1,43743.4
"IG_1976",80.3,47.5,121.7,0.4,2.6,515.3,304.9,2.5,0.4,44821.6,44943.3
"IG_1980",44.3,21.1,0,0,0,46.4,61.8,0,0,42322,42322.4
"IG_1983",73.5,45.8,115.3,0.4,2.5,471.7,294,2.5,0.4,28679.6,28794.9
"IG_1985",93.2,51,104.2,0.5,2,597.2,320.1,3.1,0.3,42419.4,42523.6
"IG_1970",60.4,47.5,115.2,0.4,2.4,387.8,305,2.6,0.4,30537.5,30652.7
"IG_1972",70.8,65.6,146.9,0.4,2.2,452,418.8,2.9,0.4,29778.6,29925.5
"IG_1977",52,28.6,65.5,0.4,2.3,333.7,183.6,2.8,0.4,19064,19129.5
"Total (IndyGo)",1802,1374,3002.7,0.5,2.2,10926,8927.3,3,0.3,"",""
