Bus No.,SOC charged,SOC used,Actual Distance,SOC/Miles,Miles/SOC,Energy Charge,Energy Used,kWh/Miles,Miles/kWh,Start Odometer,End Odometer
"IG_1899",41.5,73.5,184.5,0.4,2.5,260.6,462.2,2.5,0.4,45699.4,45883.9
"IG_1999",0,0,0,0,0,0,0,0,0,44166.6,44166.6
"IG_1995",0,0.5,0,0,0,0,3.2,0,0,42161,42161.2
"IG_1994",212.1,5.4,16,0.3,3,1568.9,508.1,31.8,0,48191.4,48207.4
"IG_1992",83.4,86,209,0.4,2.4,535.7,552.3,2.6,0.4,44818.5,45027.5
"IG_1991",0,0.1,0,0,0,0,0.4,0,0,50895.1,50895.2
"IG_1990",256.7,181.7,1.7,106.9,0,2226.7,1905.9,1121.1,0,48692.3,48694
"IG_1989",82.3,95.2,226.5,0.4,2.4,669,751.8,3.3,0.3,51881.4,52107.9
"IG_1993",0.6,21.4,40.1,0.5,1.9,638.1,136.5,3.4,0.3,43044.1,43084.2
"IG_1996",1.9,4.7,0,0,0,205.1,414,0,0,49257.7,49257.7
"IG_1997",64,60.5,122.3,0.5,2,582.6,559.5,4.6,0.2,40382.3,40504.6
"IG_1998",16.4,81.6,218.5,0.4,2.7,104.1,522.4,2.4,0.4,33903.8,34122.3
"IG_1979",242.2,146.2,0,0,0,1168.2,912.3,0,0,40109.9,40109.9
"IG_1981",0,3.4,4.7,0.7,1.4,0,21.8,4.6,0.2,41548.4,41553.1
"IG_1984",69.3,97.6,223,0.4,2.3,418.5,598,2.7,0.4,46762.9,46985.9
"IG_1988",179.6,0.1,0,0,0,1152,0.6,0,0,45882.7,45882.7
"IG_1971",398.6,2,0,0,0,4.5,6.4,0,0,44225.3,44225.5
"IG_1974",0,0.4,0,0,0,0,2.5,0,0,44935.6,44935.6
"IG_1975",70.3,96.6,173.2,0.6,1.8,451.1,619.8,3.6,0.3,32383.3,32556.5
"IG_1976",0,2,0,0,0,251.8,2.2,0,0,47174.8,47174.8
"IG_1978",46.7,1.5,103.1,0,68.7,299.6,9.6,0.1,10.7,5580.4,5683.5
"IG_1983",0,1.3,0,0,0,0,8.3,0,0,30703.2,30703.3
"IG_1985",94.1,0,0,0,0,0,0,0,0,44867.9,44867.9
"IG_1970",0.4,2.7,0,0,0,117.9,132,0,0,32434.5,32434.9
"IG_1977",53.8,16.7,44.2,0.4,2.6,344.8,399.3,9,0.1,21645.4,21689.6
"Total (IndyGo)",1913.9,981.1,1567.8,0.6,1.6,10999.2,8529.1,5.4,0.2,"",""
