Bus No.,SOC charged,SOC used,Actual Distance,SOC/Miles,Miles/SOC,Energy Charge,Energy Used,kWh/Miles,Miles/kWh,Start Odometer,End Odometer
"IG_1899",81.4,18.1,32.1,0.6,1.8,512.7,114,3.6,0.3,43213,43245.1
"IG_1999",53.8,91.3,243.4,0.4,2.7,345,585,2.4,0.4,40591.6,40835
"IG_1995",91,104.5,208.2,0.5,2,583.4,670,3.2,0.3,40406.7,40614.9
"IG_1994",160.6,77.1,189.6,0.4,2.5,1153.7,517.3,2.7,0.4,45409.6,45599.2
"IG_1992",115.7,95.6,171.5,0.6,1.8,741.9,613,3.6,0.3,42114.3,42285.8
"IG_1991",105.6,138.2,203.7,0.7,1.5,680.1,889.3,4.4,0.2,48503.4,48707.1
"IG_1990",54.1,36.2,29.2,1.2,0.8,346.2,231.3,7.9,0.1,46134.4,46163.6
"IG_1989",74.5,89.7,251.5,0.4,2.8,476.5,574,2.3,0.4,49018.7,49270.2
"IG_1993",161.6,27.1,69.8,0.4,2.6,246.4,175.1,2.5,0.4,41080.1,41149.9
"IG_1996",26.4,99,223.4,0.4,2.3,162.5,612.4,2.7,0.4,46191.7,46415.1
"IG_1997",83.1,46.1,85.2,0.5,1.8,508,270.7,3.2,0.3,38141.8,38227
"IG_1998",0,0.5,0,0,0,0,3.2,0,0,31755.1,31755.1
"IG_1979",68.8,85.7,194,0.4,2.3,439.8,547.6,2.8,0.4,37598.4,37792.4
"IG_1981",161.1,162.3,114,1.4,0.7,1007.7,1021.9,9,0.1,38669.9,38783.9
"IG_1982",152.9,114,193.6,0.6,1.7,736,548.8,2.8,0.4,44322.7,44516.3
"IG_1984",63.6,38.4,103.8,0.4,2.7,403.6,243.8,2.3,0.4,43931.4,44035.2
"IG_1988",297.5,129.4,0,0,0,3302.7,1277.2,0,0,45875.7,45876
"IG_1971",132.4,52.6,95.5,0.6,1.8,289.2,286.6,3,0.3,40852.6,40948.1
"IG_1974",50.7,110.8,226.8,0.5,2,326.1,711.6,3.1,0.3,43044.7,43271.5
"IG_1976",119,82.9,131.8,0.6,1.6,805.4,707.1,5.4,0.2,44309.2,44441
"IG_1980",0.5,3.7,0,0,0,139.5,160,0,0,42320.9,42321.3
"IG_1983",65.5,87.1,201.8,0.4,2.3,420.5,559.1,2.8,0.4,28061,28262.8
"IG_1985",41.3,89.4,198.9,0.4,2.2,266.1,574.7,2.9,0.3,41857.6,42056.5
"IG_1970",9.7,31.4,79.5,0.4,2.5,61.3,200.5,2.5,0.4,30046.2,30125.7
"IG_1972",64.6,98.7,206,0.5,2.1,411.8,629.5,3.1,0.3,29214.6,29420.6
"IG_1977",59.2,80.2,173.2,0.5,2.2,379,513.7,3,0.3,18509.4,18682.6
"Total (IndyGo)",2294.6,1990,3627.2,0.5,1.8,14745.1,13237.4,3.6,0.3,"",""
