Bus No.,SOC charged,SOC used,Actual Distance,SOC/Miles,Miles/SOC,Energy Charge,Energy Used,kWh/Miles,Miles/kWh,Start Odometer,End Odometer
"IG_1899",0.2,13.5,0,0,0,1.3,85.1,0,0,44651.8,44651.8
"IG_1999",69.2,70.9,226.8,0.3,3.2,443.8,454.7,2,0.5,42732,42958.8
"IG_1995",42,9.2,23.6,0.4,2.6,269.5,59.1,2.5,0.4,42128.4,42152
"IG_1994",38.6,52.9,157.8,0.3,3,419.3,515.2,3.3,0.3,46945,47102.8
"IG_1992",0.1,12.2,22.1,0.6,1.8,0.6,78.3,3.5,0.3,43606.2,43628.3
"IG_1991",104.3,115.9,121.2,1,1,671.4,745.8,6.2,0.2,50312,50433.2
"IG_1990",64,63.1,199.1,0.3,3.2,410.2,404.5,2,0.5,47447.4,47646.5
"IG_1989",13.8,2.7,0,0,0,88.6,17.3,0,0,50698.7,50698.8
"IG_1993",60.8,0.5,0,0,0,390.1,3.2,0,0,42813,42813.1
"IG_1996",2.7,0.6,0,0,0,16.7,3.7,0,0,48193,48193.1
"IG_1997",34.6,70.2,192.4,0.4,2.7,221.9,450.3,2.3,0.4,39358.2,39550.6
"IG_1998",34.6,4.4,14.1,0.3,3.2,221.9,28.2,2,0.5,32725.6,32739.7
"IG_1979",60.3,8.1,15.2,0.5,1.9,386.9,52,3.4,0.3,39194.2,39209.4
"IG_1981",60.6,59.1,61.8,1,1,363,353.4,5.7,0.2,40410.4,40472.2
"IG_1982",1.1,83.5,188.7,0.4,2.3,7.2,535.8,2.8,0.4,45514.7,45703.4
"IG_1984",55.4,50,128.8,0.4,2.6,350.3,316.1,2.5,0.4,45538.3,45667.1
"IG_1971",90,31.8,26.2,1.2,0.8,551.9,178.6,6.8,0.1,43066.8,43093
"IG_1974",61.2,0.4,0,0,0,392.6,2.5,0,0,44687.3,44687.3
"IG_1975",0,0.5,0,0,0,0,3.2,0,0,31423.7,31423.7
"IG_1976",1.8,65.6,170.1,0.4,2.6,8.3,420.8,2.5,0.4,45985.4,46155.5
"IG_1978",12.1,43.3,213,0.2,4.9,77.6,277.7,1.3,0.8,4198.4,4411.4
"IG_1980",0,1.4,0,0,0,0,8.9,0,0,42329.9,42329.9
"IG_1983",30.1,0.4,0,0,0,193.1,2.6,0,0,29696.2,29696.2
"IG_1985",24.5,82.9,216.5,0.4,2.6,157.7,532.4,2.5,0.4,43789.1,44005.6
"IG_1970",72.2,75.6,188.5,0.4,2.5,463.2,485,2.6,0.4,31476.8,31665.3
"IG_1972",0,7.6,21.6,0.4,2.8,0,48.5,2.2,0.4,31063.8,31085.4
"IG_1977",50.3,27.3,65.2,0.4,2.4,322,174.4,2.7,0.4,20410,20475.2
"Total (IndyGo)",984.5,953.6,2253,0.4,2.4,6429.1,6237.3,2.8,0.4,"",""
