Bus No.,SOC charged,SOC used,Actual Distance,SOC/Miles,Miles/SOC,Energy Charge,Energy Used,kWh/Miles,Miles/kWh,Start Odometer,End Odometer
"IG_1899",111.3,57.1,141.4,0.4,2.5,701.6,360.2,2.5,0.4,45046.2,45187.6
"IG_1999",75.3,88.5,253.1,0.3,2.9,484,568.5,2.2,0.4,43418.4,43671.5
"IG_1995",0,2.4,6.4,0.4,2.7,0,15.4,2.4,0.4,42152,42158.4
"IG_1994",78,76.4,218.1,0.4,2.9,523.1,512.4,2.3,0.4,47445.9,47664
"IG_1992",29.8,89.7,233,0.4,2.6,190.4,574.6,2.5,0.4,43890.9,44123.9
"IG_1991",0.1,2,0,0,0,0.3,6.4,0,0,50682.7,50682.7
"IG_1990",90.3,75.6,203.7,0.4,2.7,578.1,483.2,2.4,0.4,47972.7,48176.4
"IG_1989",212,115.1,178.7,0.6,1.6,1360.1,738.6,4.1,0.2,51165.2,51343.9
"IG_1993",300.9,48,123,0.4,2.6,655.5,307.8,2.5,0.4,42813.1,42936.1
"IG_1996",41.1,71.6,178.5,0.4,2.5,254.6,443.6,2.5,0.4,48568.3,48746.8
"IG_1997",49.4,59.8,157.3,0.4,2.6,315.6,382.3,2.4,0.4,39807.7,39965
"IG_1998",62.5,87.2,249.9,0.3,2.9,400.8,559.3,2.2,0.4,33063.6,33313.5
"IG_1979",35.8,83.2,163.1,0.5,2,229.6,533.7,3.3,0.3,39588.7,39751.8
"IG_1981",55.5,101.1,224.8,0.4,2.2,317.3,622.7,2.8,0.4,40837.3,41062.1
"IG_1982",0,1.3,0,0,0,0,8.3,0,0,45856.7,45856.7
"IG_1984",86,51.3,131.1,0.4,2.6,546,325.3,2.5,0.4,46040.2,46171.3
"IG_1988",0.1,0.4,0,0,0,0.2,0.6,0,0,45882.7,45882.7
"IG_1971",348.9,119.4,225.5,0.5,1.9,1269.4,759.5,3.4,0.3,43516.2,43741.7
"IG_1974",1.5,7.7,7.1,1.1,0.9,630.8,823.4,116,0,44928.5,44935.6
"IG_1975",106.4,97.5,220.4,0.4,2.3,681,623.9,2.8,0.4,31621.5,31841.9
"IG_1976",68.4,85.2,214.7,0.4,2.5,425.6,533.4,2.5,0.4,46405.9,46620.6
"IG_1978",0,45.1,293.9,0.2,6.5,0,289.3,1,1,4703.4,4997.3
"IG_1983",103.4,54,131.4,0.4,2.4,664.4,347.5,2.6,0.4,30111.2,30242.6
"IG_1985",95.3,83.3,239.3,0.3,2.9,611.2,534.2,2.2,0.4,44398,44637.3
"IG_1970",95.9,119.3,189.1,0.6,1.6,621,771.1,4.1,0.2,31972.7,32161.8
"IG_1972",88.8,68.2,203,0.3,3,567.1,435.6,2.1,0.5,31398,31601
"IG_1977",91.7,62.9,119.6,0.5,1.9,569.1,384.3,3.2,0.3,20910.5,21030.1
"Total (IndyGo)",2228.4,1753.3,4306.1,0.4,2.5,12596.8,11945.1,2.8,0.4,"",""
