Bus No.,SOC charged,SOC used,Actual Distance,SOC/Miles,Miles/SOC,Energy Charge,Energy Used,kWh/Miles,Miles/kWh,Start Odometer,End Odometer
"IG_1899",106.2,105.1,251.7,0.4,2.4,669.4,662.4,2.6,0.4,42961.3,43213
"IG_1999",49.7,81.5,216,0.4,2.7,318.7,522.3,2.4,0.4,40375.6,40591.6
"IG_1995",52,75.5,197,0.4,2.6,333.5,484.3,2.5,0.4,40209.7,40406.7
"IG_1994",129.2,107,152.6,0.7,1.4,867.9,719,4.7,0.2,45257.1,45409.7
"IG_1992",111.4,122.8,186.2,0.7,1.5,699.6,772.7,4.1,0.2,41928.1,42114.3
"IG_1991",139.7,73.3,175.1,0.4,2.4,896.4,470.4,2.7,0.4,48328.3,48503.4
"IG_1990",58.7,70.4,173.4,0.4,2.5,376.5,451.6,2.6,0.4,45961,46134.4
"IG_1989",90.9,115.7,261.5,0.4,2.3,583.2,742.3,2.8,0.4,48757.2,49018.7
"IG_1993",338.5,125.4,220,0.6,1.8,642.2,909.7,4.1,0.2,40860.2,41080.2
"IG_1996",148.1,95.6,176.6,0.5,1.8,918.5,593.2,3.4,0.3,46015.1,46191.7
"IG_1997",53.1,83.3,207.1,0.4,2.5,339.9,533.6,2.6,0.4,37934.7,38141.8
"IG_1979",71.9,70.7,178.8,0.4,2.5,461.2,454.1,2.5,0.4,37419.6,37598.4
"IG_1981",90.3,105.6,171,0.6,1.6,579.9,671.6,3.9,0.3,38498.9,38669.9
"IG_1982",86.5,92.4,167.2,0.6,1.8,415.1,443.5,2.7,0.4,44155.5,44322.7
"IG_1984",25.1,11,24.6,0.4,2.2,159.1,69.7,2.8,0.4,43906.8,43931.4
"IG_1986",10.4,13.7,29.5,0.5,2.2,66.7,87.9,3,0.3,43025.5,43055
"IG_1987",0,0,0,0,0,0,0,0,0,0,0
"IG_1988",13.7,62.8,147.1,0.4,2.3,88.6,403.6,2.7,0.4,45728.7,45875.8
"IG_1971",630,92.6,154.9,0.6,1.7,650.8,596.2,3.8,0.3,40697.7,40852.6
"IG_1974",184.9,144.7,192.2,0.8,1.3,1166.4,908.5,4.7,0.2,42852.5,43044.7
"IG_1976",91,112.4,224.6,0.5,2,583.4,720.6,3.2,0.3,44084.6,44309.2
"IG_1978",0,0.5,0,0,0,0,3.2,0,0,3160.8,3160.8
"IG_1980",124.2,110.7,150.6,0.7,1.4,796.9,710.3,4.7,0.2,42170.3,42320.9
"IG_1983",98.3,77.9,192,0.4,2.5,631.2,500.3,2.6,0.4,27869,28061
"IG_1985",165.4,156.3,205.5,0.8,1.3,1062.5,1004.1,4.9,0.2,41652.1,41857.6
"IG_1972",43.7,32.3,90.4,0.4,2.8,279,206.2,2.3,0.4,29124.2,29214.6
"IG_1977",0,0.4,0,0,0,0,2.6,0,0,18509.4,18509.4
"Total (IndyGo)",2912.9,2139.6,4145.6,0.5,1.9,13586.6,13643.9,3.3,0.3,"",""
