Bus No.,SOC charged,SOC used,Actual Distance,SOC/Miles,Miles/SOC,Energy Charge,Energy Used,kWh/Miles,Miles/kWh,Start Odometer,End Odometer
"IG_1899",41.2,63.8,150.9,0.4,2.4,259.5,401.9,2.7,0.4,42583,42733.9
"IG_1999",79.2,33.3,98.7,0.3,3,827.2,534.1,5.4,0.2,40060.9,40159.6
"IG_1995",64.2,60.8,167.3,0.4,2.8,412.4,390.6,2.3,0.4,39881.9,40049.2
"IG_1994",25.8,51.4,147.8,0.3,2.9,172.3,344,2.3,0.4,44900.6,45048.4
"IG_1992",56.6,56.6,131.6,0.4,2.3,361.9,361.9,2.8,0.4,41625.2,41756.8
"IG_1991",73.6,41.1,99.6,0.4,2.4,471.6,263.1,2.6,0.4,47996.8,48096.4
"IG_1990",110.7,60.7,146.1,0.4,2.4,691.5,370.7,2.5,0.4,45721.4,45867.5
"IG_1989",56.6,74.5,184.4,0.4,2.5,363.9,478.7,2.6,0.4,48362.4,48546.8
"IG_1993",131.8,50.2,88.7,0.6,1.8,282.9,310.5,3.5,0.3,40700.3,40789
"IG_1996",36.5,40.3,101.5,0.4,2.5,226.2,249.7,2.5,0.4,45763.7,45865.2
"IG_1997",36.1,40.3,84.1,0.5,2.1,231.7,258.7,3.1,0.3,37836.9,37921
"IG_1979",62.7,94.7,175,0.5,1.8,402.6,607.9,3.5,0.3,37083.2,37258.2
"IG_1981",223.8,167.9,150.9,1.1,0.9,1420.2,1058.4,7,0.1,38115.8,38266.7
"IG_1982",60,76.5,125.5,0.6,1.6,288.8,368.2,2.9,0.3,43851.1,43976.6
"IG_1984",48.3,64.1,140.9,0.5,2.2,299.9,400.1,2.8,0.4,43539.5,43680.4
"IG_1986",0,1,0,0,0,0,6.4,0,0,42914.4,42914.4
"IG_1971",36,14.9,18.6,0.8,1.2,231.1,92.5,5,0.2,40480.3,40498.9
"IG_1974",5.1,6.3,0,0,0,20,27.7,0,0,42634.8,42635.5
"IG_1975",49.8,0,0,0,0,319.4,0,0,0,31331.8,31331.8
"IG_1976",90.1,78,167.1,0.5,2.1,552.3,449,2.7,0.4,43704.9,43872
"IG_1980",59.8,60.3,130.1,0.5,2.2,384.1,387.3,3,0.3,41832.9,41963
"IG_1983",78.7,51.7,134.2,0.4,2.6,505.2,332,2.5,0.4,27540.2,27674.4
"IG_1985",108.9,67.1,159.1,0.4,2.4,697.9,429.8,2.7,0.4,41316.6,41475.7
"IG_1977",0,0.5,0,0,0,0,3.2,0,0,18509.4,18509.4
"Total (IndyGo)",1535.5,1256,2602.8,0.5,2.1,9422.6,8126.4,3.1,0.3,"",""
