Bus No.,SOC charged,SOC used,Actual Distance,SOC/Miles,Miles/SOC,Energy Charge,Energy Used,kWh/Miles,Miles/kWh,Start Odometer,End Odometer
"IG_1899",86.4,87.7,179.2,0.5,2,544.9,553.1,3.1,0.3,46094.2,46273.4
"IG_1999",98.5,3.7,0,0,0,436.1,5.8,0,0,44166.8,44167
"IG_1995",0,0,0,0,0,0,0,0,0,42161.2,42161.2
"IG_1994",0.3,1.5,1.1,1.4,0.7,2,9.9,9,0.1,48207.6,48208.7
"IG_1992",95,87.8,188.4,0.5,2.1,611.4,565.2,3,0.3,45226.6,45415
"IG_1991",86,108.1,206.3,0.5,1.9,550.1,691.9,3.4,0.3,51070.6,51276.9
"IG_1990",164,100.5,73.8,1.4,0.7,1105,627.1,8.5,0.1,48795,48868.8
"IG_1989",119.5,39.3,67,0.6,1.7,860.8,346.4,5.2,0.2,52271.2,52338.2
"IG_1993",481.8,119.1,192,0.6,1.6,803.9,760.3,4,0.3,43183.8,43375.8
"IG_1996",64.8,87.2,207.4,0.4,2.4,401,539.8,2.6,0.4,49263.9,49471.3
"IG_1997",72.9,89.5,191.7,0.5,2.1,468.1,574.6,3,0.3,40698.7,40890.4
"IG_1998",29,20.4,45.9,0.4,2.3,389.7,128.6,2.8,0.4,34274.6,34320.5
"IG_1979",14.2,55.1,115.7,0.5,2.1,91.9,354.3,3.1,0.3,40109.9,40225.6
"IG_1981",71,73.9,0,0,0,455.4,474,0,0,41557.5,41557.7
"IG_1984",93.1,92.2,207.2,0.4,2.2,591.1,585.4,2.8,0.4,47176.2,47383.4
"IG_1988",0,0,0,0,0,0,0,0,0,0,0
"IG_1971",186.4,48.7,104.6,0.5,2.1,265.1,312.6,3,0.3,44305.7,44410.3
"IG_1974",3.4,38.3,91.5,0.4,2.4,20.7,244.6,2.7,0.4,44935.9,45027.4
"IG_1975",151.2,110.9,204.9,0.5,1.8,968.5,710,3.5,0.3,32751.2,32956.1
"IG_1976",0,0,0,0,0,0,0,0,0,47174.8,47174.8
"IG_1980",371.5,338.3,58.8,5.8,0.2,47.4,238.5,4.1,0.2,42330,42388.8
"IG_1983",0.9,21.4,60.1,0.4,2.8,475.4,135.9,2.3,0.4,30703.3,30763.4
"IG_1985",6.4,0.9,0,0,0,41.1,5.8,0,0,44867.9,44867.9
"IG_1970",61.5,31.5,42.2,0.7,1.3,520,256,6.1,0.2,32577.1,32619.3
"IG_1972",75.3,93.1,215.3,0.4,2.3,480.9,594.6,2.8,0.4,32243.3,32458.6
"IG_1977",130.1,100.4,212.9,0.5,2.1,834.8,644.2,3,0.3,21772.3,21985.2
"Total (IndyGo)",2463.2,1749.5,2666.4,0.7,1.5,10965.3,9358.6,3.5,0.3,"",""
