Bus No.,SOC charged,SOC used,Actual Distance,SOC/Miles,Miles/SOC,Energy Charge,Energy Used,kWh/Miles,Miles/kWh,Start Odometer,End Odometer
"IG_1899",36.4,86.8,238.3,0.4,2.7,229.5,547,2.3,0.4,45187.6,45425.9
"IG_1999",54.5,84.2,249.5,0.3,3,566.1,756.2,3,0.3,43671.5,43921
"IG_1995",0.1,0.2,0,0,0,0.7,1.3,0,0,42158.4,42158.4
"IG_1994",89.9,83.5,234.2,0.4,2.8,604.4,560.8,2.4,0.4,47664,47898.2
"IG_1992",102.7,94.3,247.1,0.4,2.6,658.6,604.7,2.4,0.4,44123.9,44371
"IG_1991",0.1,3,0,0,0,0.3,9.6,0,0,50682.7,50682.7
"IG_1990",58.7,84.3,223.9,0.4,2.7,377.5,542.3,2.4,0.4,48176.4,48400.3
"IG_1989",98,90.9,179.2,0.5,2,628.7,583.2,3.3,0.3,51343.9,51523.1
"IG_1993",164.5,62.2,98.5,0.6,1.6,485,399,4.1,0.2,42936.1,43034.6
"IG_1996",73.1,89.7,215.9,0.4,2.4,452.2,555.1,2.6,0.4,48746.8,48962.7
"IG_1997",117,95.3,165.6,0.6,1.7,749.9,610.7,3.7,0.3,39965,40130.6
"IG_1998",92.2,82,244.4,0.3,3,591.2,525.8,2.2,0.5,33313.5,33557.9
"IG_1979",83.8,63.6,110.1,0.6,1.7,537.3,407.7,3.7,0.3,39751.8,39861.9
"IG_1981",53.3,76.5,168.3,0.5,2.2,341.6,490.4,2.9,0.3,41062.1,41230.4
"IG_1982",0.1,2.9,0,0,0,0.6,18.6,0,0,45856.7,45856.9
"IG_1984",56.9,73.5,177,0.4,2.4,360.3,465.6,2.6,0.4,46171.3,46348.3
"IG_1971",114.1,87.8,186.3,0.5,2.1,1329.3,531.9,2.9,0.4,43741.7,43928
"IG_1974",0,0.8,0,0,0,0,3.9,0,0,44935.6,44935.6
"IG_1975",75.6,91,189.4,0.5,2.1,485.6,584.4,3.1,0.3,31841.9,32031.3
"IG_1976",91.2,98.1,224,0.4,2.3,584.4,628.6,2.8,0.4,46620.6,46844.6
"IG_1978",31.6,43.2,179.7,0.2,4.2,202.7,277.1,1.5,0.6,4997.3,5177
"IG_1983",65.9,65.9,157.4,0.4,2.4,422.2,422.2,2.7,0.4,30242.6,30400
"IG_1985",69.5,64.3,126.4,0.5,2,418.8,385.5,3,0.3,44637.3,44763.7
"IG_1970",41.6,65,140.6,0.5,2.2,266.9,417,3,0.3,32161.8,32302.4
"IG_1972",69.3,74.2,192.7,0.4,2.6,442.6,473.8,2.5,0.4,31601,31793.7
"IG_1977",92,81.9,219.8,0.4,2.7,589.4,524.6,2.4,0.4,21030.1,21249.9
"Total (IndyGo)",1732.1,1745.1,4168.5,0.4,2.4,11325.8,11327,2.7,0.4,"",""
