Bus No.,SOC charged,SOC used,Actual Distance,SOC/Miles,Miles/SOC,Energy Charge,Energy Used,kWh/Miles,Miles/kWh,Start Odometer,End Odometer
"IG_1899",105.7,97.7,236.7,0.4,2.4,665.4,615.1,2.6,0.4,44809.5,45046.2
"IG_1999",115.3,79.1,236.8,0.3,3,736.7,505,2.1,0.5,43181.6,43418.4
"IG_1995",0,0.1,0,0,0,0,0.7,0,0,42152,42152
"IG_1994",83.3,104.4,222.9,0.5,2.1,558.9,700.4,3.1,0.3,47223,47445.9
"IG_1992",65.4,74,130.7,0.6,1.8,419,474.2,3.6,0.3,43760.2,43890.9
"IG_1991",60.9,10.6,22.5,0.5,2.1,389.9,373.5,16.6,0.1,50660.2,50682.7
"IG_1990",50.8,77.6,212.6,0.4,2.7,327.2,499.1,2.3,0.4,47760.1,47972.7
"IG_1989",101.7,111.7,244.4,0.5,2.2,653.1,717.2,2.9,0.3,50920.8,51165.2
"IG_1996",104.4,61.3,169.6,0.4,2.8,644.4,377.3,2.2,0.4,48398.7,48568.3
"IG_1997",74.5,52.4,128.9,0.4,2.5,479.3,337.5,2.6,0.4,39678.8,39807.7
"IG_1998",17.3,46.3,155.3,0.3,3.4,111.4,297.4,1.9,0.5,32908.3,33063.6
"IG_1979",109.5,81.3,189.1,0.4,2.3,702.9,522,2.8,0.4,39399.6,39588.7
"IG_1981",141.7,81.1,141.5,0.6,1.7,920.8,519.2,3.7,0.3,40695.8,40837.3
"IG_1982",57,13.3,32.2,0.4,2.4,365.7,85.4,2.7,0.4,45824.6,45856.8
"IG_1984",91.1,74.7,160.3,0.5,2.1,570.9,467.5,2.9,0.3,45879.9,46040.2
"IG_1988",0,0,0,0,0,0,0,0,0,45882.7,45882.7
"IG_1971",376.1,114.1,191.9,0.6,1.7,960.5,708.9,3.7,0.3,43324.3,43516.2
"IG_1974",63.4,12.4,29.3,0.4,2.4,405.4,75,2.6,0.4,44899.3,44928.6
"IG_1975",47.3,49.3,120.7,0.4,2.4,303.5,316.4,2.6,0.4,31500.8,31621.5
"IG_1976",30.1,84.2,233.9,0.4,2.8,193.2,540.3,2.3,0.4,46172,46405.9
"IG_1978",14.1,5.5,125.8,0,22.9,90.5,35.3,0.3,3.6,4577.6,4703.4
"IG_1983",64.3,65.8,192,0.3,2.9,414.1,423.7,2.2,0.5,29919.2,30111.2
"IG_1985",69,87,235.7,0.4,2.7,442,557.5,2.4,0.4,44162.3,44398
"IG_1970",129.3,99.4,178.3,0.6,1.8,828.8,637,3.6,0.3,31794.4,31972.7
"IG_1972",58.6,70,177.1,0.4,2.5,374.3,447.1,2.5,0.4,31220.9,31398
"IG_1977",83.9,87.4,227.6,0.4,2.6,537.2,559.7,2.5,0.4,20682.9,20910.5
"Total (IndyGo)",2114.7,1640.7,3995.8,0.4,2.4,12095.1,10792.4,2.7,0.4,"",""
