Bus No.,SOC charged,SOC used,Actual Distance,SOC/Miles,Miles/SOC,Energy Charge,Energy Used,kWh/Miles,Miles/kWh,Start Odometer,End Odometer
"IG_1899",98.1,87,210.3,0.4,2.4,617.7,547.8,2.6,0.4,45883.9,46094.2
"IG_1999",0,3.3,0,0,0,0,5.3,0,0,44166.6,44166.8
"IG_1995",0,0.4,0,0,0,0,2.6,0,0,42161.2,42161.2
"IG_1994",24.3,25.6,0,0,0,471.3,166.6,0,0,48207.3,48207.6
"IG_1992",137.3,82.6,199.1,0.4,2.4,880.8,529.9,2.7,0.4,45027.5,45226.6
"IG_1991",57.5,71.4,175.4,0.4,2.5,465,457.3,2.6,0.4,50895.2,51070.6
"IG_1990",4.7,82.7,101,0.8,1.2,165.9,576.5,5.7,0.2,48694,48795
"IG_1989",146.1,94.7,163.4,0.6,1.7,793,607.5,3.7,0.3,52107.9,52271.3
"IG_1993",234.5,53.6,99.6,0.5,1.9,1664.7,343.8,3.5,0.3,43084.2,43183.8
"IG_1996",40.3,9.1,6.2,1.5,0.7,439.2,54.3,8.8,0.1,49257.7,49263.9
"IG_1997",73.4,81.7,194.1,0.4,2.4,470,523.9,2.7,0.4,40504.6,40698.7
"IG_1998",109.1,79.7,152.3,0.5,1.9,666,683.3,4.5,0.2,34122.3,34274.6
"IG_1979",79.5,0.5,0,0,0,130.9,3.2,0,0,40109.9,40109.9
"IG_1981",155.1,156.1,4.5,34.7,0,969.3,975.7,216.8,0,41553,41557.5
"IG_1984",111.8,82.3,190.3,0.4,2.3,708.1,521,2.7,0.4,46985.9,47176.2
"IG_1988",0,24,0,0,0,575.4,0,0,0,45882.7,45882.7
"IG_1971",434.2,92.4,80.2,1.2,0.9,879.7,713.9,8.9,0.1,44225.5,44305.7
"IG_1974",363.1,256.5,0,0,0,2855.6,2171.8,0,0,44935.6,44935.9
"IG_1975",142.3,97.4,194.7,0.5,2,913.1,625.1,3.2,0.3,32556.5,32751.2
"IG_1976",0,0.2,0,0,0,0,1.3,0,0,47174.8,47174.8
"IG_1983",0,0.5,0,0,0,0,474.2,0,0,30703.2,30703.3
"IG_1970",63.3,111.9,142.2,0.8,1.3,405.3,769.4,5.4,0.2,32434.9,32577.1
"IG_1972",52.1,80.5,176.1,0.5,2.2,332.6,514,2.9,0.3,32067.2,32243.3
"IG_1977",170.2,191.2,82.7,2.3,0.4,1339.9,1181.8,14.3,0.1,21689.6,21772.3
"Total (IndyGo)",2496.9,1765.3,2173,0.8,1.2,15743.5,12450.2,5.7,0.2,"",""
