Bus No.,SOC charged,SOC used,Actual Distance,SOC/Miles,Miles/SOC,Energy Charge,Energy Used,kWh/Miles,Miles/kWh,Start Odometer,End Odometer
"IG_1899",90,93.7,246.7,0.4,2.6,567.5,590.8,2.4,0.4,41977.8,42224.5
"IG_1999",74.2,92.8,236.3,0.4,2.5,475.6,594.6,2.5,0.4,39337.3,39573.6
"IG_1995",1.5,67.5,138,0.5,2,8.9,432.3,3.1,0.3,39357,39495
"IG_1994",111.8,81.8,191.9,0.4,2.3,780.2,579,3,0.3,44465,44656.9
"IG_1992",106.5,104.5,242.7,0.4,2.3,684,671.2,2.8,0.4,41037.3,41280
"IG_1991",97,81.5,172.1,0.5,2.1,623.3,523.9,3,0.3,47383.2,47555.3
"IG_1990",60.2,39.3,90.6,0.4,2.3,499.1,243.4,2.7,0.4,45355.9,45446.5
"IG_1989",71.4,80.8,209.4,0.4,2.6,458.6,518.9,2.5,0.4,47815.3,48024.7
"IG_1996",101.3,124.4,256.9,0.5,2.1,623.4,766.6,3,0.3,45301.1,45558
"IG_1997",100.2,113.5,164.7,0.7,1.5,642.6,727.9,4.4,0.2,37417.6,37582.3
"IG_1979",46.1,81.3,190.6,0.4,2.3,295.8,521.6,2.7,0.4,36568.3,36758.9
"IG_1981",142.1,103,171,0.6,1.7,973.1,598.7,3.5,0.3,37507.3,37678.3
"IG_1982",138.8,81.8,115,0.7,1.4,668.3,394,3.4,0.3,43375.6,43490.6
"IG_1984",85.4,87.7,225.8,0.4,2.6,535.4,550,2.4,0.4,42939.7,43165.5
"IG_1986",95,100.4,211.8,0.5,2.1,609.5,644.2,3,0.3,42638.1,42849.9
"IG_1988",309.2,75.8,192,0.4,2.5,415.9,487.1,2.5,0.4,45516.4,45708.4
"IG_1971",229.5,82.3,58.6,1.4,0.7,472.2,718.9,12.3,0.1,40408.6,40467.2
"IG_1974",86.6,107.2,155.1,0.7,1.4,558.7,690.9,4.5,0.2,42231.9,42387
"IG_1975",68,23.6,28.2,0.8,1.2,363.8,613.4,21.8,0,31297.6,31325.8
"IG_1976",27.1,17.2,46.6,0.4,2.7,166.1,373.3,8,0.1,43530.2,43576.8
"IG_1980",84.4,75.5,182.2,0.4,2.4,540.7,483.7,2.7,0.4,41260.3,41442.5
"IG_1983",39.3,74.7,212.3,0.4,2.8,252.1,479.2,2.3,0.4,26984.5,27196.8
"IG_1985",53.5,49.6,143.6,0.3,2.9,341.9,316.9,2.2,0.5,40775.2,40918.8
"IG_1972",101.2,75.5,187.1,0.4,2.5,646.3,482.2,2.6,0.4,28538.6,28725.7
"IG_1977",0,0.3,0,0,0,0,1.9,0,0,18509.4,18509.4
"Total (IndyGo)",2320.3,1915.7,4069.2,0.5,2.1,12203,13004.6,3.2,0.3,"",""
