Bus No.,SOC charged,SOC used,Actual Distance,SOC/Miles,Miles/SOC,Energy Charge,Energy Used,kWh/Miles,Miles/kWh,Start Odometer,End Odometer
"IG_1899",0.2,5,7.4,0.7,1.5,1.3,31.5,4.3,0.2,43977.2,43984.6
"IG_1999",53.7,71.1,188,0.4,2.6,344.3,456.3,2.4,0.4,41793.2,41981.2
"IG_1995",71.2,76.5,198.5,0.4,2.6,435.6,469.6,2.4,0.4,41438,41636.5
"IG_1994",86.9,50.4,144.9,0.3,2.9,743.3,498.5,3.4,0.3,46289.7,46434.6
"IG_1992",109.5,67.5,117.8,0.6,1.7,701.2,431.8,3.7,0.3,42967.8,43085.6
"IG_1991",47.9,48.3,107.6,0.4,2.2,306.7,309.3,2.9,0.3,49453.3,49560.9
"IG_1990",49.3,46,119,0.4,2.6,316.8,295.7,2.5,0.4,46596.6,46715.6
"IG_1989",60,82.2,238.5,0.3,2.9,385.3,527.7,2.2,0.5,50142.8,50381.3
"IG_1993",492.4,139.9,211,0.7,1.5,915.5,839.4,4,0.3,41917.3,42128.3
"IG_1996",94.7,92,249.1,0.4,2.7,587.9,571.2,2.3,0.4,47355.2,47604.3
"IG_1997",11.4,58.3,121,0.5,2.1,73.9,374.8,3.1,0.3,38831.9,38952.9
"IG_1998",46.8,62.1,194.2,0.3,3.1,302.3,400.5,2.1,0.5,31833.7,32027.9
"IG_1979",52.4,62.5,161.5,0.4,2.6,335.2,400,2.5,0.4,38546.2,38707.7
"IG_1981",51.1,81.5,206.8,0.4,2.5,326.8,521.8,2.5,0.4,39498.7,39705.5
"IG_1982",0.1,0.5,0,0,0,0.6,3.2,0,0,45149.2,45149.2
"IG_1984",49.5,26.8,60.8,0.4,2.3,313.3,169.3,2.8,0.4,44860.4,44921.2
"IG_1988",98.7,0.2,0,0,0,0,107,0,0,45882.7,45882.7
"IG_1971",385.8,106.9,273.4,0.4,2.6,575.5,682.1,2.5,0.4,41953.9,42227.3
"IG_1974",67.9,50.5,120.9,0.4,2.4,435,323.4,2.7,0.4,44027.1,44148
"IG_1976",108.9,86.3,210.6,0.4,2.4,698.5,553.5,2.6,0.4,45168.7,45379.3
"IG_1980",71.4,72.1,0,0,0,1.3,5.8,0,0,42322.9,42323.5
"IG_1983",2.5,63.9,135.4,0.5,2.1,15.9,409.8,3,0.3,29020.4,29155.8
"IG_1985",120.6,61.4,160.2,0.4,2.6,775.1,395.3,2.5,0.4,42873.9,43034.1
"IG_1970",108.3,101.9,113.8,0.9,1.1,695.9,654.8,5.8,0.2,30796.4,30910.2
"IG_1972",154.6,182.3,208.2,0.9,1.1,987.5,1151.7,5.5,0.2,30275.3,30483.5
"IG_1977",64.2,99.5,229.4,0.4,2.3,385.5,612,2.7,0.4,19483.1,19712.5
"Total (IndyGo)",2460,1795.6,3778.6,0.5,2.1,10660.2,11196,3,0.3,"",""
