Bus No.,SOC charged,SOC used,Actual Distance,SOC/Miles,Miles/SOC,Energy Charge,Energy Used,kWh/Miles,Miles/kWh,Start Odometer,End Odometer
"IG_1899",54.6,57.4,131,0.4,2.3,345.4,363,2.8,0.4,42452,42583
"IG_1999",103.8,101.7,254.8,0.4,2.5,664.9,650.8,2.6,0.4,39806.1,40060.9
"IG_1995",124.1,70.3,142.6,0.5,2,796.4,451.3,3.2,0.3,39739.3,39881.9
"IG_1994",87.8,20.7,58.2,0.4,2.8,749.7,299.7,5.1,0.2,44842.4,44900.6
"IG_1992",115.7,66.4,151.4,0.4,2.3,741.9,425.6,2.8,0.4,41473.8,41625.2
"IG_1991",120.3,95,214.3,0.4,2.3,751.7,589.4,2.8,0.4,47782.5,47996.8
"IG_1990",36.8,86.8,208,0.4,2.4,236.2,557,2.7,0.4,45513.4,45721.4
"IG_1989",170.5,140.4,92.4,1.5,0.7,1080.9,887.8,9.6,0.1,48270,48362.4
"IG_1993",235.7,84,116.6,0.7,1.4,971.3,540.2,4.6,0.2,40583.7,40700.3
"IG_1996",60.4,97.3,184.4,0.5,1.9,374.3,603,3.3,0.3,45579.3,45763.7
"IG_1997",66.8,35.8,74.9,0.5,2.1,428.6,229.7,3.1,0.3,37762,37836.9
"IG_1979",105.7,55.1,113.4,0.5,2.1,675.1,350.5,3.1,0.3,36969.8,37083.2
"IG_1981",211.3,191.1,221.3,0.9,1.2,1354.9,1225.3,5.5,0.2,37894.5,38115.8
"IG_1982",143.3,110.7,171.3,0.6,1.5,689.2,532.4,3.1,0.3,43679.8,43851.1
"IG_1984",108.5,77.1,161.6,0.5,2.1,687.1,488,3,0.3,43377.9,43539.5
"IG_1986",0.1,1.3,0,0,0,0.7,8.4,0,0,42914.3,42914.4
"IG_1988",0,0,0,0,0,0,0,0,0,45728.6,45728.7
"IG_1971",53.5,40.5,7.2,5.6,0.2,494.6,201.4,28,0,40473.1,40480.3
"IG_1974",126.5,69.3,54.2,1.3,0.8,792.3,425.3,7.8,0.1,42580.6,42634.8
"IG_1975",3.8,7,6,1.2,0.9,172.3,22.9,3.8,0.3,31325.8,31331.8
"IG_1976",22.5,70.4,128.1,0.5,1.8,389.7,536.9,4.2,0.2,43576.8,43704.9
"IG_1980",117.9,103.2,183.8,0.6,1.8,755.7,661.4,3.6,0.3,41649.1,41832.9
"IG_1983",64.2,64.4,140,0.5,2.2,411.9,413.1,3,0.3,27400.2,27540.2
"IG_1985",66.6,65.2,162.9,0.4,2.5,427.7,418.7,2.6,0.4,41153.7,41316.6
"IG_1972",34.9,35.1,99.8,0.4,2.8,222.9,224.2,2.2,0.4,28922.6,29022.4
"IG_1977",0,0.5,0,0,0,0,3.2,0,0,18509.4,18509.4
"Total (IndyGo)",2235.3,1746.7,3078.4,0.6,1.8,14215.4,11109.2,3.6,0.3,"",""
