Bus No.,SOC charged,SOC used,Actual Distance,SOC/Miles,Miles/SOC,Energy Charge,Energy Used,kWh/Miles,Miles/kWh,Start Odometer,End Odometer
"IG_1899",8.4,78,250.6,0.3,3.2,52.7,491.1,2,0.5,41296.4,41547
"IG_1999",97.6,62.7,171.7,0.4,2.7,849.1,625.7,3.6,0.3,38741.1,38912.8
"IG_1995",0,0.2,0,0,0,0,1.3,0,0,39350.9,39350.9
"IG_1994",471.2,137.8,182.5,0.8,1.3,3140.1,904.1,5,0.2,43901.8,44084.3
"IG_1992",75,82.5,215.5,0.4,2.6,480.9,529,2.5,0.4,40392.3,40607.8
"IG_1991",40.7,79.2,214.7,0.4,2.7,262.3,509.2,2.4,0.4,46726.1,46940.8
"IG_1990",37,85.7,251.7,0.3,2.9,237.4,549.9,2.2,0.5,44674.8,44926.5
"IG_1989",64.6,64.3,163,0.4,2.5,414.4,412.4,2.5,0.4,47220.6,47383.6
"IG_1996",29.5,55,141.6,0.4,2.6,182.5,340.5,2.4,0.4,44772.9,44914.5
"IG_1997",33.1,5.1,12.7,0.4,2.5,212.5,32.9,2.6,0.4,37188.4,37201.1
"IG_1979",34.4,40.5,115,0.4,2.8,324.1,363.2,3.2,0.3,36077.7,36192.7
"IG_1981",88.8,104.8,219.3,0.5,2.1,567.7,670.4,3.1,0.3,36920.9,37140.2
"IG_1982",102.3,69.6,136.9,0.5,2,491.5,331.8,2.4,0.4,42939.8,43076.7
"IG_1984",66.5,52.8,137.6,0.4,2.6,421.1,334.2,2.4,0.4,42366.9,42504.5
"IG_1986",86.2,111.8,182.7,0.6,1.6,546.8,711,3.9,0.3,42144,42326.7
"IG_1988",489.9,87.4,240,0.4,2.7,508.2,544.2,2.3,0.4,44978.1,45218.1
"IG_1971",212.6,72.8,223.3,0.3,3.1,202.4,468,2.1,0.5,39799.8,40023.1
"IG_1974",35.7,96.9,171.4,0.6,1.8,223.2,615.8,3.6,0.3,41774.7,41946.1
"IG_1975",30,74.1,197.5,0.4,2.7,193.1,476,2.4,0.4,30649.8,30847.3
"IG_1976",45.9,98.6,257.6,0.4,2.6,293.7,631.8,2.5,0.4,42866.8,43124.4
"IG_1980",87.2,106,161,0.7,1.5,559.1,679.7,4.2,0.2,40761,40922
"IG_1983",30.8,83.1,248.1,0.3,3,199.5,534.4,2.2,0.5,26444.2,26692.3
"IG_1985",95.1,79.3,244.7,0.3,3.1,611.1,509.7,2.1,0.5,40132.6,40377.3
"IG_1970",0,1.9,5.9,0.3,3.1,0,12.2,2.1,0.5,30040.4,30046.3
"IG_1972",47.6,43.5,119.1,0.4,2.7,303.9,277.7,2.3,0.4,28022.3,28141.4
"IG_1973",69.7,0.8,0,0,0,223.5,2.5,0,0,21776.6,21777.3
"IG_1977",0,0.4,0,0,0,0,2.6,0,0,18509,18509
"Total (IndyGo)",2379.8,1774.8,4264.8,0.4,2.4,11500.8,11561.3,2.7,0.4,"",""
