Bus No.,SOC charged,SOC used,Actual Distance,SOC/Miles,Miles/SOC,Energy Charge,Energy Used,kWh/Miles,Miles/kWh,Start Odometer,End Odometer
"IG_1899",27.6,14.5,15.6,0.9,1.1,173.9,91.4,5.9,0.2,44636.2,44651.8
"IG_1999",92.3,85.8,198.4,0.4,2.3,586.4,544.8,2.7,0.4,42533.6,42732
"IG_1995",78.6,69.9,124.4,0.6,1.8,504.2,447.7,3.6,0.3,42004,42128.4
"IG_1994",87.2,30.6,20.4,1.5,0.7,424.5,44.9,2.2,0.5,46924.6,46945
"IG_1992",73.7,44.9,72.4,0.6,1.6,474,289.2,4,0.3,43533.8,43606.2
"IG_1991",73.4,49.5,167.6,0.3,3.4,470.8,317.5,1.9,0.5,50144.4,50312
"IG_1990",61.1,70.7,151,0.5,2.1,392.1,453.6,3,0.3,47296.4,47447.4
"IG_1989",199.9,27.5,7.2,3.8,0.3,1282.3,176.4,24.5,0,50691.5,50698.7
"IG_1993",32,61.5,118.9,0.5,1.9,205.3,394.6,3.3,0.3,42694.1,42813
"IG_1996",55.9,58.4,111.3,0.5,1.9,346.3,361.8,3.3,0.3,48081.7,48193
"IG_1997",18.1,33,57.8,0.6,1.8,115.9,211.4,3.7,0.3,39300.4,39358.2
"IG_1998",64.8,40,116,0.3,2.9,415.9,256.8,2.2,0.5,32609.6,32725.6
"IG_1979",52.2,55.5,113.7,0.5,2,335.6,356.8,3.1,0.3,39080.5,39194.2
"IG_1981",128.4,103.9,189.4,0.5,1.8,824,666.8,3.5,0.3,40221,40410.4
"IG_1982",115.7,74.7,55.5,1.3,0.7,742.2,479.1,8.6,0.1,45459.2,45514.7
"IG_1984",0.7,48,105.4,0.5,2.2,3.8,303.8,2.9,0.3,45432.9,45538.3
"IG_1971",314.4,135.5,212.1,0.6,1.6,637.5,869.7,4.1,0.2,42854.7,43066.8
"IG_1974",0.2,6.4,1.3,4.9,0.2,1.2,41,31.5,0,44686,44687.3
"IG_1975",0.4,5.7,6.5,0.9,1.1,2.5,36.5,5.6,0.2,31417.2,31423.7
"IG_1976",114.3,58.8,135.2,0.4,2.3,734.3,375,2.8,0.4,45850.2,45985.4
"IG_1978",0,5.8,11.5,0.5,2,0,37.2,3.2,0.3,4186.9,4198.4
"IG_1980",71.7,1.8,0,0,0,0.7,11.6,0,0,42329.9,42329.9
"IG_1983",46.1,48.5,93.4,0.5,1.9,295.9,311.3,3.3,0.3,29602.8,29696.2
"IG_1985",99.3,53.2,112.2,0.5,2.1,637.1,341.4,3,0.3,43676.9,43789.1
"IG_1970",55.1,65.6,127.8,0.5,1.9,353.5,420.9,3.3,0.3,31349,31476.8
"IG_1972",86.2,76.2,191,0.4,2.5,551,487.2,2.6,0.4,30872.8,31063.8
"IG_1977",52,62.9,149,0.4,2.4,334.3,404.2,2.7,0.4,20261,20410
"Total (IndyGo)",2001.3,1388.8,2665,0.5,1.9,10845.2,8732.6,3.3,0.3,"",""
