Bus No.,SOC charged,SOC used,Actual Distance,SOC/Miles,Miles/SOC,Energy Charge,Energy Used,kWh/Miles,Miles/kWh,Start Odometer,End Odometer
"IG_1899",27.7,58.1,151.5,0.4,2.6,174.6,366.1,2.4,0.4,43660.6,43812.1
"IG_1999",50.2,52.4,168.7,0.3,3.2,320.8,334.9,2,0.5,41408.8,41577.5
"IG_1995",29.4,55.5,147,0.4,2.6,187.5,355,2.4,0.4,41063.9,41210.9
"IG_1994",26.3,45.6,132.8,0.3,2.9,327.1,456.5,3.4,0.3,45951.3,46084.1
"IG_1992",26.6,67.1,155.2,0.4,2.3,170.9,430.7,2.8,0.4,42679.1,42834.3
"IG_1991",65.3,69.4,136.3,0.5,2,393.1,419.4,3.1,0.3,49201.2,49337.5
"IG_1990",28.4,60.6,148.7,0.4,2.5,183.7,390.3,2.6,0.4,46241.6,46390.3
"IG_1989",41.4,46.5,118.1,0.4,2.5,265.4,298.1,2.5,0.4,49812.3,49930.4
"IG_1993",156.2,56.6,129.8,0.4,2.3,183.3,362.9,2.8,0.4,41603.4,41733.2
"IG_1996",82.7,46.4,116.3,0.4,2.5,512.2,287.3,2.5,0.4,47027.4,47143.7
"IG_1997",5.7,11.9,27.2,0.4,2.3,36.5,76.3,2.8,0.4,38662.4,38689.6
"IG_1998",0.2,1.8,0,0,0,1.3,11.6,0,0,31755.3,31755.4
"IG_1979",56.7,58.2,152.6,0.4,2.6,364.7,374.3,2.5,0.4,38192.7,38345.3
"IG_1981",15.1,15,44.9,0.3,3,97,96.3,2.1,0.5,39337.3,39382.2
"IG_1982",44.4,33.1,94.6,0.3,2.9,285.1,212.6,2.2,0.4,45054.6,45149.2
"IG_1984",66.5,18.5,45.1,0.4,2.4,421.8,117.3,2.6,0.4,44690.8,44735.9
"IG_1988",0,0,0,0,0,0,0,0,0,45882.7,45882.7
"IG_1971",60.2,67.4,159.6,0.4,2.4,386.9,433.1,2.7,0.4,41561.9,41721.5
"IG_1974",53.2,60,132.7,0.5,2.2,342,385.7,2.9,0.3,43743.4,43876.1
"IG_1976",50,25.3,0,0,0,320.9,162.4,0,0,44943.3,44944.2
"IG_1980",0.2,1.4,0,0,0,1.3,9,0,0,42322.4,42322.9
"IG_1983",36.4,47.1,105.8,0.4,2.2,233.9,302.5,2.9,0.3,28794.9,28900.7
"IG_1985",51.3,50.3,116.6,0.4,2.3,322.5,309.7,2.7,0.4,42523.6,42640.2
"IG_1970",57,9.3,25.8,0.4,2.8,365.7,59.8,2.3,0.4,30652.7,30678.5
"IG_1972",85.9,60.4,172.7,0.3,2.9,549.2,386.4,2.2,0.4,29925.5,30098.2
"IG_1977",48.8,58.6,153.8,0.4,2.6,312.9,375.8,2.4,0.4,19129.5,19283.3
"Total (IndyGo)",1165.8,1076.5,2637.3,0.4,2.4,6760.3,7014,2.7,0.4,"",""
