Bus No.,SOC charged,SOC used,Actual Distance,SOC/Miles,Miles/SOC,Energy Charge,Energy Used,kWh/Miles,Miles/kWh,Start Odometer,End Odometer
"IG_1899",72.8,68.3,154.6,0.4,2.3,458.8,430.4,2.8,0.4,43984.5,44139.1
"IG_1999",57,88.3,153.8,0.6,1.7,364.3,564,3.7,0.3,41981.2,42135
"IG_1995",105,81.8,216.7,0.4,2.6,671.1,522.3,2.4,0.4,41636.5,41853.2
"IG_1994",7.4,42,115,0.4,2.7,48.9,280.9,2.4,0.4,46434.6,46549.6
"IG_1992",61.3,79.5,207.3,0.4,2.6,392.8,509.5,2.5,0.4,43085.6,43292.9
"IG_1991",106,104.7,228.7,0.5,2.2,680.5,672.1,2.9,0.3,49560.9,49789.6
"IG_1990",56.8,81.2,226.2,0.4,2.8,364.7,521.8,2.3,0.4,46715.6,46941.8
"IG_1989",116,57.2,83.2,0.7,1.5,904.5,527.3,6.3,0.2,50381.3,50464.5
"IG_1993",437.1,88.2,146.9,0.6,1.7,837.9,567.1,3.9,0.3,42128.3,42275.2
"IG_1996",62.7,72.8,161.3,0.5,2.2,388.4,451,2.8,0.4,47604.3,47765.6
"IG_1997",89.3,35.9,74.5,0.5,2.1,572.9,228.4,3.1,0.3,38952.9,39027.4
"IG_1998",93.1,56.2,173.6,0.3,3.1,600,360,2.1,0.5,32027.9,32201.5
"IG_1979",55.4,60.1,140.6,0.4,2.3,355.9,386.1,2.7,0.4,38707.7,38848.3
"IG_1981",145.6,114.1,168.5,0.7,1.5,934.2,732.1,4.3,0.2,39705.5,39874
"IG_1982",0.4,15.4,22.4,0.7,1.5,2.5,98.7,4.4,0.2,45149.2,45171.6
"IG_1984",70.9,58.2,151.3,0.4,2.6,449.9,369.4,2.4,0.4,44921.2,45072.5
"IG_1971",278.6,84.5,226.8,0.4,2.7,617,540.6,2.4,0.4,42227.3,42454.1
"IG_1974",57.6,79.3,216.7,0.4,2.7,369.8,509,2.3,0.4,44148,44364.7
"IG_1975",105.3,55.6,0,0,0,675.6,267.6,0,0,31331.8,31331.8
"IG_1976",67.1,78.7,216.7,0.4,2.8,430.2,504.7,2.3,0.4,45379.3,45596
"IG_1978",0,22.5,66.8,0.3,3,0,144.3,2.2,0.5,3656.9,3723.7
"IG_1980",182.9,104,6.3,16.5,0.1,695.4,189.2,30,0,42323.5,42329.8
"IG_1983",113.5,52.9,128.3,0.4,2.4,728.4,339.7,2.6,0.4,29155.8,29284.1
"IG_1985",45.3,92.6,238.7,0.4,2.6,290.3,593.8,2.5,0.4,43034.1,43272.8
"IG_1970",20.2,64,117.4,0.5,1.8,130.8,411.8,3.5,0.3,30910.2,31027.6
"IG_1972",166.3,146.1,135,1.1,0.9,1062.1,933.1,6.9,0.1,30483.5,30618.5
"IG_1977",109.9,90.2,201.1,0.4,2.2,704.8,578.4,2.9,0.3,19712.5,19913.6
"Total (IndyGo)",2683.5,1974.3,3978.4,0.5,2,13731.7,12233.3,3.1,0.3,"",""
